Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance
1987,11,17,2,1216,1155,1317,1250,DL,89,NA,181,175,NA,27,21,DFW,LAX,1235
1987,11,18,3,1203,1155,1310,1250,DL,89,NA,187,175,NA,20,8,DFW,LAX,1235
1987,11,19,4,1205,1155,1259,1250,DL,89,NA,174,175,NA,9,10,DFW,LAX,1235
1987,11,20,5,1155,1155,1300,1250,DL,89,NA,185,175,NA,10,0,DFW,LAX,1235
1987,11,21,6,1159,1155,1306,1250,DL,89,NA,187,175,NA,16,4,DFW,LAX,1235
1987,11,22,7,1155,1155,1300,1250,DL,89,NA,185,175,NA,10,0,DFW,LAX,1235
1987,11,23,1,1219,1155,1319,1250,DL,89,NA,180,175,NA,29,24,DFW,LAX,1235
1987,11,24,2,1159,1155,1257,1250,DL,89,NA,178,175,NA,7,4,DFW,LAX,1235
1987,11,25,3,1159,1155,1307,1250,DL,89,NA,188,175,NA,17,4,DFW,LAX,1235
1987,11,26,4,1204,1155,1302,1250,DL,89,NA,178,175,NA,12,9,DFW,LAX,1235
1987,11,27,5,1155,1155,1300,1250,DL,89,NA,185,175,NA,10,0,DFW,LAX,1235
1987,11,28,6,1200,1155,1310,1250,DL,89,NA,190,175,NA,20,5,DFW,LAX,1235
1987,11,29,7,1202,1155,1306,1250,DL,89,NA,184,175,NA,16,7,DFW,LAX,1235
1987,11,30,1,1220,1155,1330,1250,DL,89,NA,190,175,NA,40,25,DFW,LAX,1235
1987,11,1,7,935,935,1044,1051,DL,89,NA,129,136,NA,-7,0,TPA,DFW,929
1987,11,2,1,935,935,1048,1051,DL,89,NA,133,136,NA,-3,0,TPA,DFW,929
1987,11,3,2,955,935,1100,1051,DL,89,NA,125,136,NA,9,20,TPA,DFW,929
1987,11,4,3,935,935,1045,1051,DL,89,NA,130,136,NA,-6,0,TPA,DFW,929
1987,11,5,4,935,935,1050,1051,DL,89,NA,135,136,NA,-1,0,TPA,DFW,929
1987,11,6,5,935,935,1045,1051,DL,89,NA,130,136,NA,-6,0,TPA,DFW,929
1987,11,7,6,935,935,1051,1051,DL,89,NA,136,136,NA,0,0,TPA,DFW,929
1987,11,8,7,943,935,1058,1051,DL,89,NA,135,136,NA,7,8,TPA,DFW,929
1987,11,9,1,945,935,1100,1051,DL,89,NA,135,136,NA,9,10,TPA,DFW,929
1987,11,10,2,935,935,1058,1051,DL,89,NA,143,136,NA,7,0,TPA,DFW,929
1987,11,11,3,935,935,1107,1051,DL,89,NA,152,136,NA,16,0,TPA,DFW,929
1987,11,12,4,935,935,1058,1051,DL,89,NA,143,136,NA,7,0,TPA,DFW,929
1987,11,13,5,937,935,1056,1051,DL,89,NA,139,136,NA,5,2,TPA,DFW,929
1987,11,14,6,945,935,1102,1051,DL,89,NA,137,136,NA,11,10,TPA,DFW,929
1987,11,15,7,938,935,1200,1051,DL,89,NA,202,136,NA,69,3,TPA,DFW,929
1987,11,16,1,1006,935,1149,1051,DL,89,NA,163,136,NA,58,31,TPA,DFW,929
1987,11,17,2,943,935,1102,1051,DL,89,NA,139,136,NA,11,8,TPA,DFW,929
1987,11,18,3,935,935,1054,1051,DL,89,NA,139,136,NA,3,0,TPA,DFW,929
1987,11,19,4,936,935,1058,1051,DL,89,NA,142,136,NA,7,1,TPA,DFW,929
1987,11,20,5,935,935,1058,1051,DL,89,NA,143,136,NA,7,0,TPA,DFW,929
1987,11,21,6,941,935,1055,1051,DL,89,NA,134,136,NA,4,6,TPA,DFW,929
1987,11,22,7,935,935,1105,1051,DL,89,NA,150,136,NA,14,0,TPA,DFW,929
1987,11,23,1,935,935,1110,1051,DL,89,NA,155,136,NA,19,0,TPA,DFW,929
1987,11,24,2,943,935,1100,1051,DL,89,NA,137,136,NA,9,8,TPA,DFW,929
1987,11,25,3,935,935,1055,1051,DL,89,NA,140,136,NA,4,0,TPA,DFW,929
1987,11,26,4,935,935,1100,1051,DL,89,NA,145,136,NA,9,0,TPA,DFW,929
1987,11,27,5,935,935,1101,1051,DL,89,NA,146,136,NA,10,0,TPA,DFW,929
1987,11,28,6,935,935,1055,1051,DL,89,NA,140,136,NA,4,0,TPA,DFW,929
1987,11,29,7,945,935,1111,1051,DL,89,NA,146,136,NA,20,10,TPA,DFW,929
1987,11,30,1,944,935,1130,1051,DL,89,NA,166,136,NA,39,9,TPA,DFW,929
1987,11,1,7,2007,1949,2304,2242,DL,90,NA,117,113,NA,22,18,DFW,ATL,732
1987,11,2,1,2004,1949,2311,2242,DL,90,NA,127,113,NA,29,15,DFW,ATL,732
1987,11,3,2,2003,1949,2258,2242,DL,90,NA,115,113,NA,16,14,DFW,ATL,732
1987,11,4,3,2025,1949,2325,2242,DL,90,NA,120,113,NA,43,36,DFW,ATL,732
1987,11,5,4,2348,1949,225,2242,DL,90,NA,97,113,NA,223,239,DFW,ATL,732
1987,11,6,5,2000,1949,2254,2242,DL,90,NA,114,113,NA,12,11,DFW,ATL,732
1987,11,7,6,1955,1949,2245,2242,DL,90,NA,110,113,NA,3,6,DFW,ATL,732
1987,11,8,7,2020,1949,2311,2242,DL,90,NA,111,113,NA,29,31,DFW,ATL,732
1987,11,9,1,2022,1949,2322,2242,DL,90,NA,120,113,NA,40,33,DFW,ATL,732
1987,11,10,2,1949,1949,2243,2242,DL,90,NA,114,113,NA,1,0,DFW,ATL,732
1987,11,11,3,2011,1949,2255,2242,DL,90,NA,104,113,NA,13,22,DFW,ATL,732
1987,11,12,4,2038,1949,2335,2242,DL,90,NA,117,113,NA,53,49,DFW,ATL,732
1987,11,13,5,2009,1949,2310,2242,DL,90,NA,121,113,NA,28,20,DFW,ATL,732
1987,11,14,6,1959,1949,2247,2242,DL,90,NA,108,113,NA,5,10,DFW,ATL,732
1987,11,15,7,2330,1949,320,2242,DL,90,NA,170,113,NA,278,221,DFW,ATL,732
1987,11,16,1,NA,1949,NA,2242,DL,90,NA,NA,113,NA,NA,NA,DFW,ATL,732
1987,11,18,3,2037,1949,2326,2242,DL,90,NA,109,113,NA,44,48,DFW,ATL,732
1987,11,19,4,2015,1949,2304,2242,DL,90,NA,109,113,NA,22,26,DFW,ATL,732
1987,11,20,5,2036,1949,2331,2242,DL,90,NA,115,113,NA,49,47,DFW,ATL,732
1987,11,21,6,NA,1949,NA,2242,DL,90,NA,NA,113,NA,NA,NA,DFW,ATL,732
1987,11,22,7,1954,1949,2239,2242,DL,90,NA,105,113,NA,-3,5,DFW,ATL,732
1987,11,23,1,2008,1949,2302,2242,DL,90,NA,114,113,NA,20,19,DFW,ATL,732
1987,11,24,2,2030,1949,2335,2242,DL,90,NA,125,113,NA,53,41,DFW,ATL,732
1987,11,25,3,2005,1949,2257,2242,DL,90,NA,112,113,NA,15,16,DFW,ATL,732
1987,11,26,4,1949,1949,2250,2242,DL,90,NA,121,113,NA,8,0,DFW,ATL,732
1987,11,27,5,1949,1949,2232,2242,DL,90,NA,103,113,NA,-10,0,DFW,ATL,732
1987,11,28,6,2008,1949,2256,2242,DL,90,NA,108,113,NA,14,19,DFW,ATL,732
1987,11,29,7,2005,1949,2250,2242,DL,90,NA,105,113,NA,8,16,DFW,ATL,732
1987,11,30,1,2039,1949,2331,2242,DL,90,NA,112,113,NA,49,50,DFW,ATL,732
1987,11,1,7,1426,1420,1908,1904,DL,90,NA,162,164,NA,4,6,LAX,DFW,1235
1987,11,2,1,1425,1420,1913,1904,DL,90,NA,168,164,NA,9,5,LAX,DFW,1235
1987,11,3,2,1432,1420,1921,1904,DL,90,NA,169,164,NA,17,12,LAX,DFW,1235
1987,11,4,3,1434,1420,1932,1904,DL,90,NA,178,164,NA,28,14,LAX,DFW,1235
1987,11,5,4,NA,1420,NA,1904,DL,90,NA,NA,164,NA,NA,NA,LAX,DFW,1235
1987,11,6,5,1428,1420,1908,1904,DL,90,NA,160,164,NA,4,8,LAX,DFW,1235
1987,11,7,6,1425,1420,1912,1904,DL,90,NA,167,164,NA,8,5,LAX,DFW,1235
1987,11,8,7,1428,1420,1928,1904,DL,90,NA,180,164,NA,24,8,LAX,DFW,1235
1987,11,9,1,1427,1420,1941,1904,DL,90,NA,194,164,NA,37,7,LAX,DFW,1235
1987,11,10,2,1420,1420,1917,1904,DL,90,NA,177,164,NA,13,0,LAX,DFW,1235
1987,11,11,3,1426,1420,1919,1904,DL,90,NA,173,164,NA,15,6,LAX,DFW,1235
1987,11,12,4,1441,1420,1934,1904,DL,90,NA,173,164,NA,30,21,LAX,DFW,1235
1987,11,13,5,1420,1420,1912,1904,DL,90,NA,172,164,NA,8,0,LAX,DFW,1235
1987,11,14,6,1420,1420,1913,1904,DL,90,NA,173,164,NA,9,0,LAX,DFW,1235
1987,11,15,7,1753,1420,2246,1904,DL,90,NA,173,164,NA,222,213,LAX,DFW,1235
1987,11,16,1,1517,1420,1945,1904,DL,90,NA,148,164,NA,41,57,LAX,DFW,1235
1987,11,17,2,1420,1420,1908,1904,DL,90,NA,168,164,NA,4,0,LAX,DFW,1235
1987,11,18,3,1440,1420,1958,1904,DL,90,NA,198,164,NA,54,20,LAX,DFW,1235
1987,11,19,4,1435,1420,1931,1904,DL,90,NA,176,164,NA,27,15,LAX,DFW,1235
1987,11,20,5,1441,1420,1935,1904,DL,90,NA,174,164,NA,31,21,LAX,DFW,1235
1987,11,21,6,1429,1420,1919,1904,DL,90,NA,170,164,NA,15,9,LAX,DFW,1235
1987,11,22,7,1425,1420,1912,1904,DL,90,NA,167,164,NA,8,5,LAX,DFW,1235
1987,11,23,1,1428,1420,1917,1904,DL,90,NA,169,164,NA,13,8,LAX,DFW,1235
1987,11,24,2,1441,1420,1936,1904,DL,90,NA,175,164,NA,32,21,LAX,DFW,1235
1987,11,25,3,1427,1420,1912,1904,DL,90,NA,165,164,NA,8,7,LAX,DFW,1235
1987,11,26,4,1420,1420,1906,1904,DL,90,NA,166,164,NA,2,0,LAX,DFW,1235
1987,11,27,5,1420,1420,1913,1904,DL,90,NA,173,164,NA,9,0,LAX,DFW,1235
1987,11,28,6,1434,1420,1936,1904,DL,90,NA,182,164,NA,32,14,LAX,DFW,1235
1987,11,29,7,1429,1420,1915,1904,DL,90,NA,166,164,NA,11,9,LAX,DFW,1235
1987,11,30,1,1452,1420,1944,1904,DL,90,NA,172,164,NA,40,32,LAX,DFW,1235
1987,11,1,7,805,805,831,833,DL,91,NA,86,88,NA,-2,0,MCO,MSY,550
1987,11,2,1,811,805,845,833,DL,91,NA,94,88,NA,12,6,MCO,MSY,550
1987,11,3,2,808,805,847,833,DL,91,NA,99,88,NA,14,3,MCO,MSY,550
1987,11,4,3,815,805,859,833,DL,91,NA,104,88,NA,26,10,MCO,MSY,550
1987,11,5,4,805,805,839,833,DL,91,NA,94,88,NA,6,0,MCO,MSY,550
1987,11,6,5,805,805,837,833,DL,91,NA,92,88,NA,4,0,MCO,MSY,550
1987,11,7,6,810,805,853,833,DL,91,NA,103,88,NA,20,5,MCO,MSY,550
1987,11,8,7,805,805,839,833,DL,91,NA,94,88,NA,6,0,MCO,MSY,550
1987,11,9,1,811,805,852,833,DL,91,NA,101,88,NA,19,6,MCO,MSY,550
1987,11,10,2,805,805,859,833,DL,91,NA,114,88,NA,26,0,MCO,MSY,550
1987,11,11,3,805,805,851,833,DL,91,NA,106,88,NA,18,0,MCO,MSY,550
1987,11,12,4,805,805,845,833,DL,91,NA,100,88,NA,12,0,MCO,MSY,550
1987,11,13,5,805,805,841,833,DL,91,NA,96,88,NA,8,0,MCO,MSY,550
1987,11,14,6,805,805,838,833,DL,91,NA,93,88,NA,5,0,MCO,MSY,550
1987,11,15,7,805,805,828,833,DL,91,NA,83,88,NA,-5,0,MCO,MSY,550
1987,11,16,1,805,805,841,833,DL,91,NA,96,88,NA,8,0,MCO,MSY,550
1987,11,17,2,805,805,854,833,DL,91,NA,109,88,NA,21,0,MCO,MSY,550
1987,11,18,3,805,805,849,833,DL,91,NA,104,88,NA,16,0,MCO,MSY,550
1987,11,19,4,812,805,855,833,DL,91,NA,103,88,NA,22,7,MCO,MSY,550
1987,11,20,5,805,805,849,833,DL,91,NA,104,88,NA,16,0,MCO,MSY,550
1987,11,21,6,808,805,850,833,DL,91,NA,102,88,NA,17,3,MCO,MSY,550
1987,11,22,7,805,805,840,833,DL,91,NA,95,88,NA,7,0,MCO,MSY,550
1987,11,23,1,805,805,837,833,DL,91,NA,92,88,NA,4,0,MCO,MSY,550
1987,11,24,2,808,805,842,833,DL,91,NA,94,88,NA,9,3,MCO,MSY,550
1987,11,25,3,805,805,836,833,DL,91,NA,91,88,NA,3,0,MCO,MSY,550
1987,11,26,4,805,805,845,833,DL,91,NA,100,88,NA,12,0,MCO,MSY,550
1987,11,27,5,902,805,947,833,DL,91,NA,105,88,NA,74,57,MCO,MSY,550
1987,11,28,6,809,805,848,833,DL,91,NA,99,88,NA,15,4,MCO,MSY,550
1987,11,29,7,819,805,855,833,DL,91,NA,96,88,NA,22,14,MCO,MSY,550
1987,11,30,1,820,805,904,833,DL,91,NA,104,88,NA,31,15,MCO,MSY,550
1987,11,1,7,640,640,724,722,DL,91,NA,44,42,NA,2,0,MIA,MCO,193
1987,11,2,1,649,640,736,722,DL,91,NA,47,42,NA,14,9,MIA,MCO,193
1987,11,3,2,640,640,723,722,DL,91,NA,43,42,NA,1,0,MIA,MCO,193
1987,11,4,3,640,640,734,722,DL,91,NA,54,42,NA,12,0,MIA,MCO,193
1987,11,5,4,640,640,734,722,DL,91,NA,54,42,NA,12,0,MIA,MCO,193
1987,11,6,5,640,640,730,722,DL,91,NA,50,42,NA,8,0,MIA,MCO,193
1987,11,7,6,640,640,724,722,DL,91,NA,44,42,NA,2,0,MIA,MCO,193
1987,11,8,7,640,640,722,722,DL,91,NA,42,42,NA,0,0,MIA,MCO,193
1987,11,9,1,640,640,724,722,DL,91,NA,44,42,NA,2,0,MIA,MCO,193
1987,11,10,2,640,640,730,722,DL,91,NA,50,42,NA,8,0,MIA,MCO,193
1987,11,11,3,640,640,730,722,DL,91,NA,50,42,NA,8,0,MIA,MCO,193
1987,11,12,4,640,640,721,722,DL,91,NA,41,42,NA,-1,0,MIA,MCO,193
1987,11,13,5,645,640,732,722,DL,91,NA,47,42,NA,10,5,MIA,MCO,193
1987,11,14,6,640,640,722,722,DL,91,NA,42,42,NA,0,0,MIA,MCO,193
1987,11,15,7,640,640,723,722,DL,91,NA,43,42,NA,1,0,MIA,MCO,193
1987,11,16,1,640,640,725,722,DL,91,NA,45,42,NA,3,0,MIA,MCO,193
1987,11,17,2,640,640,733,722,DL,91,NA,53,42,NA,11,0,MIA,MCO,193
1987,11,18,3,640,640,725,722,DL,91,NA,45,42,NA,3,0,MIA,MCO,193
1987,11,19,4,640,640,735,722,DL,91,NA,55,42,NA,13,0,MIA,MCO,193
1987,11,20,5,640,640,732,722,DL,91,NA,52,42,NA,10,0,MIA,MCO,193
1987,11,21,6,656,640,742,722,DL,91,NA,46,42,NA,20,16,MIA,MCO,193
1987,11,22,7,640,640,726,722,DL,91,NA,46,42,NA,4,0,MIA,MCO,193
1987,11,23,1,640,640,723,722,DL,91,NA,43,42,NA,1,0,MIA,MCO,193
1987,11,24,2,640,640,730,722,DL,91,NA,50,42,NA,8,0,MIA,MCO,193
1987,11,25,3,640,640,729,722,DL,91,NA,49,42,NA,7,0,MIA,MCO,193
1987,11,26,4,640,640,732,722,DL,91,NA,52,42,NA,10,0,MIA,MCO,193
1987,11,27,5,640,640,724,722,DL,91,NA,44,42,NA,2,0,MIA,MCO,193
1987,11,28,6,640,640,723,722,DL,91,NA,43,42,NA,1,0,MIA,MCO,193
1987,11,29,7,646,640,729,722,DL,91,NA,43,42,NA,7,6,MIA,MCO,193
1987,11,30,1,640,640,728,722,DL,91,NA,48,42,NA,6,0,MIA,MCO,193
1987,11,1,7,915,915,1058,1058,DL,91,NA,223,223,NA,0,0,MSY,LAX,1671
1987,11,2,1,920,915,1107,1058,DL,91,NA,227,223,NA,9,5,MSY,LAX,1671
1987,11,3,2,925,915,1107,1058,DL,91,NA,222,223,NA,9,10,MSY,LAX,1671
1987,11,4,3,935,915,1121,1058,DL,91,NA,226,223,NA,23,20,MSY,LAX,1671
1987,11,5,4,920,915,1129,1058,DL,91,NA,249,223,NA,31,5,MSY,LAX,1671
1987,11,6,5,918,915,1111,1058,DL,91,NA,233,223,NA,13,3,MSY,LAX,1671
1987,11,7,6,934,915,1134,1058,DL,91,NA,240,223,NA,36,19,MSY,LAX,1671
1987,11,8,7,915,915,1108,1058,DL,91,NA,233,223,NA,10,0,MSY,LAX,1671
1987,11,9,1,920,915,1056,1058,DL,91,NA,216,223,NA,-2,5,MSY,LAX,1671
1987,11,10,2,928,915,1116,1058,DL,91,NA,228,223,NA,18,13,MSY,LAX,1671
1987,11,11,3,921,915,1108,1058,DL,91,NA,227,223,NA,10,6,MSY,LAX,1671
1987,11,12,4,915,915,1055,1058,DL,91,NA,220,223,NA,-3,0,MSY,LAX,1671
1987,11,13,5,915,915,1112,1058,DL,91,NA,237,223,NA,14,0,MSY,LAX,1671
1987,11,14,6,915,915,1135,1058,DL,91,NA,260,223,NA,37,0,MSY,LAX,1671
1987,11,15,7,920,915,1119,1058,DL,91,NA,239,223,NA,21,5,MSY,LAX,1671
1987,11,16,1,915,915,1136,1058,DL,91,NA,261,223,NA,38,0,MSY,LAX,1671
1987,11,17,2,924,915,1137,1058,DL,91,NA,253,223,NA,39,9,MSY,LAX,1671
1987,11,18,3,931,915,1129,1058,DL,91,NA,238,223,NA,31,16,MSY,LAX,1671
1987,11,19,4,920,915,1109,1058,DL,91,NA,229,223,NA,11,5,MSY,LAX,1671
1987,11,20,5,920,915,1121,1058,DL,91,NA,241,223,NA,23,5,MSY,LAX,1671
1987,11,21,6,920,915,1116,1058,DL,91,NA,236,223,NA,18,5,MSY,LAX,1671
1987,11,22,7,920,915,1120,1058,DL,91,NA,240,223,NA,22,5,MSY,LAX,1671
1987,11,23,1,915,915,1120,1058,DL,91,NA,245,223,NA,22,0,MSY,LAX,1671
1987,11,24,2,915,915,1115,1058,DL,91,NA,240,223,NA,17,0,MSY,LAX,1671
1987,11,25,3,915,915,1117,1058,DL,91,NA,242,223,NA,19,0,MSY,LAX,1671
1987,11,26,4,915,915,1119,1058,DL,91,NA,244,223,NA,21,0,MSY,LAX,1671
1987,11,27,5,1015,915,1223,1058,DL,91,NA,248,223,NA,85,60,MSY,LAX,1671
1987,11,28,6,NA,915,NA,1058,DL,91,NA,NA,223,NA,NA,NA,MSY,LAX,1671
1987,11,29,7,925,915,1141,1058,DL,91,NA,256,223,NA,43,10,MSY,LAX,1671
1987,11,30,1,930,915,1153,1058,DL,91,NA,263,223,NA,55,15,MSY,LAX,1671
1987,11,29,7,826,820,911,900,DL,93,NA,45,40,NA,11,6,LGA,BDL,101
1987,11,1,7,1701,1652,1911,1859,DL,94,NA,130,127,NA,12,9,ATL,LGA,761
1987,11,2,1,1652,1652,1852,1859,DL,94,NA,120,127,NA,-7,0,ATL,LGA,761
1987,11,3,2,1652,1652,1849,1859,DL,94,NA,117,127,NA,-10,0,ATL,LGA,761
1987,11,4,3,1652,1652,1902,1859,DL,94,NA,130,127,NA,3,0,ATL,LGA,761
1987,11,5,4,1656,1652,1857,1859,DL,94,NA,121,127,NA,-2,4,ATL,LGA,761
1987,11,6,5,1715,1652,1907,1859,DL,94,NA,112,127,NA,8,23,ATL,LGA,761
1987,11,7,6,1652,1652,1840,1859,DL,94,NA,108,127,NA,-19,0,ATL,LGA,761
1987,11,8,7,1713,1652,1917,1859,DL,94,NA,124,127,NA,18,21,ATL,LGA,761
1987,11,9,1,1658,1652,1900,1859,DL,94,NA,122,127,NA,1,6,ATL,LGA,761
1987,11,10,2,1745,1652,1942,1859,DL,94,NA,117,127,NA,43,53,ATL,LGA,761
1987,11,11,3,1735,1652,1959,1859,DL,94,NA,144,127,NA,60,43,ATL,LGA,761
1987,11,12,4,1716,1652,1930,1859,DL,94,NA,134,127,NA,31,24,ATL,LGA,761
1987,11,13,5,1705,1652,1920,1859,DL,94,NA,135,127,NA,21,13,ATL,LGA,761
1987,11,14,6,1652,1652,1845,1859,DL,94,NA,113,127,NA,-14,0,ATL,LGA,761
1987,11,15,7,1722,1652,1945,1859,DL,94,NA,143,127,NA,46,30,ATL,LGA,761
1987,11,16,1,1708,1652,1923,1859,DL,94,NA,135,127,NA,24,16,ATL,LGA,761
1987,11,17,2,1708,1652,1906,1859,DL,94,NA,118,127,NA,7,16,ATL,LGA,761
1987,11,18,3,1708,1652,1908,1859,DL,94,NA,120,127,NA,9,16,ATL,LGA,761
1987,11,19,4,1715,1652,1916,1859,DL,94,NA,121,127,NA,17,23,ATL,LGA,761
1987,11,20,5,1717,1652,1912,1859,DL,94,NA,115,127,NA,13,25,ATL,LGA,761
1987,11,21,6,1652,1652,1848,1859,DL,94,NA,116,127,NA,-11,0,ATL,LGA,761
1987,11,22,7,1652,1652,1856,1859,DL,94,NA,124,127,NA,-3,0,ATL,LGA,761
1987,11,23,1,1652,1652,1856,1859,DL,94,NA,124,127,NA,-3,0,ATL,LGA,761
1987,11,24,2,1709,1652,1915,1859,DL,94,NA,126,127,NA,16,17,ATL,LGA,761
1987,11,25,3,1658,1652,1914,1859,DL,94,NA,136,127,NA,15,6,ATL,LGA,761
1987,11,26,4,1700,1652,1845,1859,DL,94,NA,105,127,NA,-14,8,ATL,LGA,761
1987,11,27,5,1652,1652,1843,1859,DL,94,NA,111,127,NA,-16,0,ATL,LGA,761
1987,11,28,6,1657,1652,1850,1859,DL,94,NA,113,127,NA,-9,5,ATL,LGA,761
1987,11,29,7,1725,1652,1946,1859,DL,94,NA,141,127,NA,47,33,ATL,LGA,761
1987,11,30,1,1722,1652,1941,1859,DL,94,NA,139,127,NA,42,30,ATL,LGA,761
1987,11,1,7,2100,2037,2150,2132,DL,96,NA,110,115,NA,18,23,ATL,DFW,732
1987,11,2,1,2041,2037,2141,2132,DL,96,NA,120,115,NA,9,4,ATL,DFW,732
1987,11,3,2,2041,2037,2131,2132,DL,96,NA,110,115,NA,-1,4,ATL,DFW,732
1987,11,4,3,2051,2037,2148,2132,DL,96,NA,117,115,NA,16,14,ATL,DFW,732
